Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly_score,anomaly
0.516296,0.25037,0.783704,351.592593,10.992222,-1.777037,0.476717,3.703704,13.735314,19.033035,0.185185,0.222222,0.037037,0.037037,0.148148,0.851852,0.740741,0.740741,0.0,-0.18963151441891934,-1
0.397273,0.209091,0.742727,332.348485,10.030303,-1.593939,0.761779,20.606061,13.802254,21.994723,0.181818,0.30303,0.060606,0.0,0.212121,0.787879,0.666667,0.666667,0.0,-0.18828979477074825,-1
0.7225,-0.1975,0.3275,-12.475,6.34125,-1.26875,0.126308,0.0,10.411039,2.991558,0.0,0.25,0.0,0.0,0.0,1.0,0.875,0.625,0.25,-0.18573724643486977,-1
0.395455,0.197576,0.743939,338.184848,10.05697,-1.60303,0.637934,17.575758,13.802254,21.994723,0.181818,0.333333,0.060606,0.0,0.212121,0.787879,0.666667,0.666667,0.0,-0.184126172103957,-1
0.384687,0.195938,0.735,324.521875,9.8775,-1.564687,0.761779,21.25,13.781067,20.994732,0.1875,0.3125,0.0625,0.0,0.21875,0.78125,0.65625,0.65625,0.0,-0.18406633326746702,-1
0.397273,0.228788,0.726667,347.760606,10.014242,-1.598182,0.637851,17.575758,13.802254,21.994723,0.151515,0.30303,0.060606,0.0,0.212121,0.787879,0.666667,0.666667,0.0,-0.18215589400535237,-1
0.337419,0.232258,0.732903,316.029032,9.870968,-1.576452,0.761779,21.935484,13.781067,20.994732,0.16129,0.290323,0.096774,0.0,0.258065,0.741935,0.677419,0.677419,0.0,-0.18169616496409913,-1
0.7475,-0.13125,0.32625,-11.2875,7.5125,-1.3975,0.20329,0.0,10.574795,2.99229,0.0,0.25,0.0,0.0,0.0,1.0,0.875,0.625,0.25,-0.18114226797146227,-1
0.392727,0.217879,0.738182,344.209091,9.959394,-1.58303,0.637851,20.606061,13.802254,21.994723,0.181818,0.30303,0.090909,0.0,0.212121,0.787879,0.666667,0.666667,0.0,-0.18111852188372735,-1
0.371935,0.220323,0.742258,317.380645,10.000323,-1.593871,0.875617,28.387097,13.781067,20.994732,0.193548,0.322581,0.16129,0.0,0.225806,0.774194,0.677419,0.677419,0.0,-0.17817662552444768,-1
0.339355,0.244516,0.731613,316.029032,9.842581,-1.566774,0.761779,25.16129,13.781067,20.994732,0.16129,0.258065,0.096774,0.0,0.258065,0.741935,0.677419,0.677419,0.0,-0.17607685203285028,-1
0.339355,0.244516,0.731613,316.029032,9.842581,-1.566774,0.733777,25.16129,13.781067,20.994732,0.16129,0.258065,0.096774,0.0,0.258065,0.741935,0.677419,0.677419,0.0,-0.17607685203285028,-1
0.358182,0.223333,0.724242,345.663636,9.882727,-1.578182,0.635557,17.575758,13.802254,21.994723,0.151515,0.30303,0.060606,0.0,0.242424,0.757576,0.666667,0.666667,0.0,-0.17516592532165032,-1
0.412391,0.276957,0.714565,282.543478,9.633261,-1.563913,0.672108,4.347826,12.717714,28.889983,0.26087,0.26087,0.043478,0.065217,0.282609,0.717391,0.673913,0.673913,0.0,-0.17398381899429038,-1
0.362333,0.224667,0.714667,284.953333,9.869,-1.575,0.885553,26.0,13.758793,19.99474,0.166667,0.333333,0.133333,0.0,0.233333,0.766667,0.666667,0.666667,0.0,-0.1721331723026952,-1
0.379189,0.121622,0.799459,300.262162,9.822432,-1.545946,0.738925,2.702703,13.521511,23.992573,0.324324,0.324324,0.027027,0.027027,0.243243,0.756757,0.648649,0.648649,0.0,-0.17142342234295294,-1
0.371667,0.177667,0.793,278.91,9.971667,-1.580667,0.61424,3.333333,13.43439,20.030893,0.266667,0.266667,0.033333,0.066667,0.266667,0.733333,0.7,0.7,0.0,-0.16929177677775264,-1
0.40871,0.177097,0.743226,311.167742,9.814839,-1.545161,0.584664,19.032258,13.758793,19.99474,0.258065,0.322581,0.096774,0.0,0.193548,0.806452,0.645161,0.645161,0.0,-0.16811526801287935,-1
0.378125,0.172813,0.748125,326.878125,9.848438,-1.558437,0.563439,21.25,13.781067,20.994732,0.21875,0.34375,0.09375,0.0,0.21875,0.78125,0.65625,0.65625,0.0,-0.1680655657345136,-1
0.378125,0.172812,0.748125,326.878125,9.848437,-1.558437,0.668362,21.25,13.781067,20.994732,0.21875,0.34375,0.09375,0.0,0.21875,0.78125,0.65625,0.65625,0.0,-0.16727309763912046,-1
0.346364,0.179394,0.711515,334.142424,9.533636,-1.50697,0.563439,17.575758,13.781067,20.994732,0.181818,0.333333,0.060606,0.0,0.242424,0.757576,0.636364,0.636364,0.0,-0.1655448740511407,-1
0.547778,-0.122222,0.226667,-9.977778,5.305556,-0.995556,0.057733,0.0,10.411039,2.991558,0.0,0.222222,0.0,0.111111,0.111111,0.888889,0.777778,0.555556,0.222222,-0.16501684333512356,-1
0.74,-0.24,0.231429,-3.557143,6.454286,-1.235714,0.22366,0.0,10.183938,1.992299,0.0,0.285714,0.0,0.0,0.0,1.0,0.857143,0.571429,0.285714,-0.16499336836731748,-1
