Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic
-0.250000,-0.646667,-0.190000,45.733333,1.956667,-0.046667,0.305204,0.000000,3.294999,-1.004386,0.333333,0.666667,0.000000,0.000000,0.666667,0.333333,0.333333,0.000000,0.333333
0.213333,-0.270000,-0.026667,-2.933333,3.400000,-0.376667,0.331191,0.000000,7.845049,0.033193,0.000000,0.333333,0.000000,0.333333,0.333333,0.666667,0.333333,0.333333,0.000000
-0.160000,0.390000,-0.007500,55.650000,1.790000,-0.005000,0.793114,97.500000,9.877730,0.992765,0.000000,0.000000,0.250000,0.500000,0.750000,0.250000,0.250000,0.250000,0.000000
-0.430000,0.405000,-0.062500,-11.350000,1.652500,0.122500,1.019472,0.000000,11.085000,0.994898,0.000000,0.000000,0.000000,0.500000,0.750000,0.250000,0.250000,0.250000,0.000000
-0.450000,0.405000,-0.102500,55.650000,1.010000,0.227500,1.018556,97.500000,11.085000,0.994898,0.000000,0.000000,0.250000,0.500000,0.750000,0.250000,0.250000,0.250000,0.000000
-0.327500,-0.197500,0.087500,66.700000,-1.197500,0.542500,0.350146,97.500000,6.015000,-0.005094,0.500000,0.500000,0.250000,0.250000,0.750000,0.250000,0.000000,0.000000,0.000000
-0.170000,0.370000,0.007500,46.725000,1.790000,0.075000,1.053230,97.500000,9.877730,0.992765,0.000000,0.000000,0.250000,0.500000,0.750000,0.250000,0.250000,0.250000,0.000000
0.040000,0.122500,0.165000,66.700000,0.217500,0.080000,0.668079,97.500000,10.110000,0.994166,0.250000,0.250000,0.250000,0.250000,0.500000,0.500000,0.250000,0.250000,0.000000
0.247500,-0.077500,0.572500,-30.200000,5.760000,-0.990000,0.336825,0.000000,11.539912,1.994157,0.250000,0.500000,0.000000,0.000000,0.250000,0.750000,0.500000,0.500000,0.000000
-0.402500,-0.602500,-0.150000,7.500000,0.965000,0.312500,0.473550,0.000000,2.995000,-1.004916,0.500000,0.750000,0.000000,0.250000,0.750000,0.250000,0.250000,0.000000,0.250000
-0.032500,0.142500,0.047500,86.500000,3.415000,-0.265000,0.988714,97.500000,11.085000,0.994898,0.000000,0.250000,0.250000,0.250000,0.500000,0.500000,0.250000,0.250000,0.000000
-0.422500,-0.542500,-0.195000,-13.725000,0.747500,0.347500,0.474447,25.000000,2.995000,-1.004916,0.500000,0.750000,0.250000,0.250000,0.750000,0.250000,0.250000,0.000000,0.250000
0.147500,-0.427500,-0.102500,7.500000,2.212500,0.052500,0.192931,0.000000,2.995000,-1.004916,0.500000,0.750000,0.000000,0.250000,0.500000,0.500000,0.250000,0.000000,0.250000
-0.560000,-0.910000,0.460000,-4.100000,-0.062500,0.347500,0.171910,0.000000,6.015000,-0.005094,1.000000,1.000000,0.000000,0.000000,0.750000,0.250000,0.000000,0.000000,0.000000
-0.515000,0.075000,0.037500,-30.075000,-0.555000,0.375000,0.734149,25.000000,10.110000,0.994166,0.250000,0.250000,0.250000,0.500000,0.750000,0.250000,0.250000,0.250000,0.000000
-0.140000,0.390000,0.032500,98.500000,2.432500,-0.110000,0.788934,0.000000,9.877730,0.992765,0.000000,0.000000,0.000000,0.500000,0.750000,0.250000,0.250000,0.250000,0.000000
-0.430000,-0.132500,-0.372500,55.650000,-1.345000,0.585000,0.370740,195.000000,3.294999,-1.004386,0.000000,0.000000,0.500000,0.000000,0.750000,0.250000,0.250000,0.000000,0.250000
