Cruciani_1,Cruciani_2,Cruciani_3,Instability_Index,Boman_Index,Hydrophobicity_Eisenberg,Hydrophobic_Moment,Aliphatic_Index,Isoelectric_Point_Lehninger,Charge_pH7.4_Lehninger,Freq_Tiny,Freq_Small,Freq_Aliphatic,Freq_Aromatic,Freq_Non_polar,Freq_Polar,Freq_Charged,Freq_Basic,Freq_Acidic,anomaly
-0.25,-0.646667,-0.19,45.733333,1.956667,-0.046667,0.305204,0.0,3.294999,-1.004386,0.333333,0.666667,0.0,0.0,0.666667,0.333333,0.333333,0.0,0.333333,-1
0.213333,-0.27,-0.026667,-2.933333,3.4,-0.376667,0.331191,0.0,7.845049,0.033193,0.0,0.333333,0.0,0.333333,0.333333,0.666667,0.333333,0.333333,0.0,-1
-0.16,0.39,-0.0075,55.65,1.79,-0.005,0.793114,97.5,9.87773,0.992765,0.0,0.0,0.25,0.5,0.75,0.25,0.25,0.25,0.0,-1
-0.43,0.405,-0.0625,-11.35,1.6525,0.1225,1.019472,0.0,11.085,0.994898,0.0,0.0,0.0,0.5,0.75,0.25,0.25,0.25,0.0,-1
-0.44,-0.1125,-0.4275,7.5,-1.9875,0.61,0.533803,292.5,3.294999,-1.004386,0.0,0.0,0.75,0.0,0.75,0.25,0.25,0.0,0.25,-1
-0.45,0.405,-0.1025,55.65,1.01,0.2275,1.018556,97.5,11.085,0.994898,0.0,0.0,0.25,0.5,0.75,0.25,0.25,0.25,0.0,-1
-0.3275,-0.1975,0.0875,66.7,-1.1975,0.5425,0.350146,97.5,6.015,-0.005094,0.5,0.5,0.25,0.25,0.75,0.25,0.0,0.0,0.0,-1
-0.17,0.37,0.0075,46.725,1.79,0.075,1.05323,97.5,9.87773,0.992765,0.0,0.0,0.25,0.5,0.75,0.25,0.25,0.25,0.0,-1
0.04,0.1225,0.165,66.7,0.2175,0.08,0.668079,97.5,10.11,0.994166,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.0,-1
0.2475,-0.0775,0.5725,-30.2,5.76,-0.99,0.336825,0.0,11.539912,1.994157,0.25,0.5,0.0,0.0,0.25,0.75,0.5,0.5,0.0,-1
-0.4025,-0.6025,-0.15,7.5,0.965,0.3125,0.47355,0.0,2.995,-1.004916,0.5,0.75,0.0,0.25,0.75,0.25,0.25,0.0,0.25,-1
-0.0325,0.1425,0.0475,86.5,3.415,-0.265,0.988714,97.5,11.085,0.994898,0.0,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0.0,-1
-0.4225,-0.5425,-0.195,-13.725,0.7475,0.3475,0.474447,25.0,2.995,-1.004916,0.5,0.75,0.25,0.25,0.75,0.25,0.25,0.0,0.25,-1
